permutation_stat,observed_stat,p_value
0.49147377293652345,1.0,0.0
0.5107631459508526,1.0,0.0
0.5396647863580366,1.0,0.0
0.4952830188679246,1.0,0.0
0.5112332231083447,1.0,0.0
0.5405887311158659,1.0,0.0
0.5004538676003372,1.0,0.0
0.48912338714906306,1.0,0.0
0.5226771704597031,1.0,0.0
0.5527134798677301,1.0,0.0
0.5218018543733385,1.0,0.0
0.5087369513064903,1.0,0.0
0.5133404655384814,1.0,0.0
0.5100499254360371,1.0,0.0
0.48537897944628156,1.0,0.0
0.4921545743370291,1.0,0.0
0.4465732996174545,1.0,0.0
0.5368281138559294,1.0,0.0
0.5101309732218116,1.0,0.0
0.49633664008299294,1.0,0.0
0.4909226479932568,1.0,0.0
0.4934999675808857,1.0,0.0
0.5004862867146469,1.0,0.0
0.5017992608441937,1.0,0.0
0.5354665110549179,1.0,0.0
0.48025675938533363,1.0,0.0
0.5035336834597678,1.0,0.0
0.4658302535174739,1.0,0.0
0.4997082279712119,1.0,0.0
0.5050411722751735,1.0,0.0
0.5311871879660248,1.0,0.0
0.48935032094923164,1.0,0.0
0.5016533748297997,1.0,0.0
0.5697497244375284,1.0,0.0
0.43120663943461074,1.0,0.0
0.5103092783505154,1.0,0.0
0.4739188225377683,1.0,0.0
0.515496336640083,1.0,0.0
0.548401737664527,1.0,0.0
0.5325650003241912,1.0,0.0
0.4467840238604681,1.0,0.0
0.5132432081955521,1.0,0.0
0.48661090579005384,1.0,0.0
0.5056733450042145,1.0,0.0
0.47544252091032874,1.0,0.0
0.4969039745834144,1.0,0.0
0.4930298904233936,1.0,0.0
0.5064514037476496,1.0,0.0
0.4879725085910653,1.0,0.0
0.5220774168449719,1.0,0.0
0.5607696297737146,1.0,0.0
0.387862283602412,1.0,0.0
0.4588601439408676,1.0,0.0
0.5072132529339298,1.0,0.0
0.5740128379692666,1.0,0.0
0.503371587888219,1.0,0.0
0.5621312325747261,1.0,0.0
0.5452084549050119,1.0,0.0
0.4329734811644946,1.0,0.0
0.5063541464047202,1.0,0.0
0.5651300006483823,1.0,0.0
0.5277183427348765,1.0,0.0
0.4408513259417753,1.0,0.0
0.5194352590287235,1.0,0.0
0.5141833625105362,1.0,0.0
0.503987551060105,1.0,0.0
0.5078130065486611,1.0,0.0
0.5044900473319068,1.0,0.0
0.4913278869221293,1.0,0.0
0.45741749335408155,1.0,0.0
0.46668936004668354,1.0,0.0
0.5117843480516113,1.0,0.0
0.5116546715943721,1.0,0.0
0.5135187706671853,1.0,0.0
0.5317383129092913,1.0,0.0
0.4894962069636258,1.0,0.0
0.4373986902677819,1.0,0.0
0.46446865071646243,1.0,0.0
0.48703235427608116,1.0,0.0
0.5355799779550022,1.0,0.0
0.5417396096738637,1.0,0.0
0.5235200674317578,1.0,0.0
0.504814238475005,1.0,0.0
0.4596219931271477,1.0,0.0
0.5197108215003565,1.0,0.0
0.4540296959087078,1.0,0.0
0.541690981002399,1.0,0.0
0.5061434221617065,1.0,0.0
0.5779193412435972,1.0,0.0
0.4944239123387149,1.0,0.0
0.5206185567010309,1.0,0.0
0.48247746871555464,1.0,0.0
0.5171983401413474,1.0,0.0
0.47090384490695714,1.0,0.0
0.4969363936977242,1.0,0.0
0.521072424301368,1.0,0.0
0.5096284769500097,1.0,0.0
0.45780652272579914,1.0,0.0
0.4973740517409065,1.0,0.0
0.4886046813201063,1.0,0.0
